"日期","数量",,957427,1057427,1077427,957427
20190520,1239673,10287,182246,0.8367591627,19.0349760347,
20190521,1258276,18603,200849,1.5006376682,20.9779962337,
20190522,1259566,1290,202139,0.1025212275,21.1127323545,
20190523,1245056,-14510,187629,-1.1519840961,19.5972121112,
20190524,1236847,-8209,179420,-0.6593277732,18.7398099281,
20190527,1277486,40639,220059,3.28569338,22.984415522,
20190528,1283803,6317,226376,0.494486828,23.6442047279,
20190529,1289636,5833,232209,0.4543531991,24.2534417768,
20190530,1277842,-11794,220415,-0.914521617,23.0215985135,
20190531,1277376,-466,219949,-0.0364677323,22.9729263954,
20190603,1267869,-9507,210442,-0.7442601082,21.9799525186,
20190604,1262666,-5203,205239,-0.4103736269,21.436516831,
20190605,1274811,12145,217384,0.9618537285,22.7050208528,
20190606,1242607,-32204,185180,-2.5261783904,19.3414223748,
20190610,1247645,5038,190218,0.405437922,19.8676243724,
20190611,1294018,46373,236591,3.7168425313,24.7111268013,
20190612,1285107,-8911,227680,-0.6886302973,23.7804031012,
20190613,1285456,349,228029,0.0271572717,23.8168549665,
20190614,1253651,-31805,196224,-2.4742192654,20.494930684,
20190617,1260425,6774,202998,0.5403417698,21.2024519885,
20190618,1261316,891,203889,0.0706904417,21.2955139139,
20190619,1283574,22258,226147,1.7646648421,23.6202864553,
20190620,1325164,41590,267737,3.2401715834,27.9642207709,
20190621,1343867,18703,286440,1.4113724792,29.9176856303,
20190624,1334914,-8953,277487,-0.6662117605,28.9825751728,
20190625,1327552,-7362,270125,-0.5514962013,28.2136392644,
20190626,1323363,-4189,265936,-0.3155431953,27.7761124347,
20190627,1360615,37252,303188,2.8149494885,31.6669573764,
20190628,1358448,-2167,301021,-0.1592662142,31.4406215826,3500
20190701,1415741,57293,358314,4.2175335383,37.4246809417,3500
20190702,1405285,-10456,347858,-0.7385531676,36.3325872364,50000
20190703,1377723,-27562,320296,-1.9613103392,33.4538299003,50000
20190704,1372917,-4806,315490,-0.3488364497,32.9518595151,75000
20190705,1381285,8368,323858,0.6095051631,33.8258687085,75000
20190708,1353631,-47654,276204,-3.4499759282,28.8485701782,75000
20190709,1373163,19532,295736,1.4429338572,30.8886212735,43000
20190710,1369511,-3652,292084,-0.2659553163,30.5071822708,30000
20190711,1377829,8318,300402,0.6073700759,31.3759691339,60000
20190712,1377301,-528,299874,-0.038321156,31.3208213263,30000
20190715,1406097,28796,328670,2.0907557607,34.3284657734,70000
20190716,1434840,28743,357413,2.0441690723,37.3305745503,70000
20190717,1444816,9976,367389,0.6952691589,38.3725338851,70000
20190718,1429803,-15013,352376,-1.0390942514,36.8044769993,85000
20190719,1462181,32378,384754,2.2645077679,40.1862491866,99000
20190722,1431081,-31100,353654,-2.1269596582,36.9379597609,99000
20190723,1464011,32930,386584,2.3010577319,40.3773864744,109000
20190724,1499610,35599,422183,2.4316074128,44.0955811775,130000
20190725,1527822,28212,450395,1.8812891352,47.042228807,144000
20190726,1530291,2469,452864,0.1616025951,47.3001074756,240000
20190729,1526895,-3396,449468,-0.2219185763,46.9454068039,220000
20190730,1536388,9493,458961,0.6217192407,47.9369184282,240000
20190731,1530691,-5697,453264,-0.3708047707,47.3418861177,220000
20190801,1530092,-599,452665,-0.0391326532,47.2793226011,215000
20190802,1503880,-26212,426453,-1.7130996045,44.5415681822,155000
20190805,1477712,-26168,400285,-1.7400324494,41.808409414,125000
20190806,1462845,-14867,385418,-1.006082376,40.2556017326,145000
20190807,1437370,-25475,359943,-1.7414695337,37.5948244618,73000
20190808,1451989,14619,374562,1.0170658912,39.1217293851,73000
20190809,1432968,-19021,355541,-1.3099961501,37.1350505052,11000
20190812,1483804,50836,406377,3.5476019004,42.4446981336,27000
20190813,1468256,-15548,390829,-1.0478472898,40.820762314,27000
20190814,1473581,5325,396154,0.3626751738,41.3769404874,38000
20190815,1493516,19935,416089,1.3528268891,43.4590835646,55000
20190816,1498154,4638,420727,0.3105423712,43.9435069201,58000
20190819,1576316,78162,498889,5.2172206596,52.1072624858,65000
20190820,1571651,-4665,494224,-0.2959431992,51.620019072,20000
20190821,1574161,2510,496734,0.1597046673,51.8821800513,20000
20190822,1564552,-9609,487125,-0.6104204081,50.8785526207,5000
20190823,1558541,-6011,481114,-0.3841994386,50.2507240761,23000
20190826,1540278,-18263,462851,-1.1718010627,48.343215723,79000
20190827,1566865,26587,489438,1.7261169737,51.1201376188,8000
20190828,1560488,-6377,483061,-0.4069910299,50.4540816167,8000
20190829,1548888,-11600,471461,-0.7433572062,49.2425009949,8000
20190830,1536278,-12610,458851,-0.8141324615,47.9254293017,8000
20190902,1589205,52927,511778,3.4451446939,53.4534747819,8000
20190903,1611552,22347,534125,1.4061747855,55.7875430712,28000
20190904,1639408,27856,561981,1.728520085,58.6970077092,28000
20190905,1685998,46590,608571,2.8418795077,63.5631750515,150000
20190906,1706340,20342,628913,1.2065257491,65.6878278971,150000
20190909,1736336,29996,658909,1.7579146008,68.8208082705,150000
20190910,1715090,-21246,637663,-1.2236110983,66.6017356937,267000
20190911,1700527,-14563,623100,-0.8491099592,65.0806797803,290000
20190912,1591263,10736,633836,0.6792671,66.2020185351,170000
20190916,1591227,-36,633800,-0.0022623539,66.1982584573,170000
20190917,1549904,-41323,592477,-2.5969267741,61.8822113853,170000
20190918,1547646,-2258,590219,-0.1456864425,61.6463709505,300000
20190919,1564111,16465,606684,1.0638737799,63.3660843072,290000
20190920,1561563,-2548,604136,-0.1629040394,63.0999543568,265000
20190923,1550985,-10578,593558,-0.6773982222,61.9951181657,387000
20190924,1566165,15180,608738,0.9787328698,63.5806176346,387000
20190925,1545108,-21057,587681,-1.344494354,61.3812854662,300000
20190926,1522564,-22544,565137,-1.4590565837,59.0266411956,198000
20190927,1536215,13651,578788,0.8965797168,60.452441805,168000
20190930,1522736,-13479,565309,-0.8774162471,59.0446060117,168000
20191008,1530341,7605,572914,0.4994299734,59.8389224453,222000
20191009,1545069,14728,587642,0.9623998834,61.3772120485,239000
20191010,1554927,9858,597500,0.6380297579,62.4068466839,262000
20191011,1564876,9949,607449,0.6398371113,63.4459859603,135000
20191014,1580006,15130,622579,0.9668497696,65.0262630989,169000
20191015,1566343,-13663,608916,-0.8647435516,63.5992091303,169000
20191016,1565834,-509,608407,-0.0324960753,63.5460458082,95000
20191017,1563335,-2499,605908,-0.1595954616,63.2850337415,70000
